#ra,dec,mag
20.690530555555554,45.28033333333333,1.25
20.370472222222222,40.25669444444444,2.23
20.770119444444443,33.96944444444445,2.48
19.749566666666666,45.130694444444444,2.86
19.512025,27.959694444444445,3.05
21.215605555555555,30.227083333333333,3.21
21.082183333333333,43.927861111111106,3.72
21.24648611111111,38.044333333333334,3.74
19.495094444444444,51.72947222222223,3.76
19.285030555555558,53.36816666666667,3.8
20.227194444444443,46.74133333333334,3.8
19.938444444444446,35.0835,3.89
20.952891666666666,41.16719444444444,3.94
20.257866666666665,47.714194444444445,3.96
21.56635277777778,45.59205555555556,3.98
20.489925,30.368555555555556,4.01
20.761044444444444,30.719666666666665,4.22
21.29026388888889,39.39469444444445,4.22
21.779891666666664,49.30958333333333,4.23
20.223277777777778,56.567527777777784,4.28
21.298630555555558,34.89688888888889,4.41
20.397666666666666,32.190194444444444,4.43
19.607372222222224,50.22047222222223,4.49
20.790147222222224,36.49075,4.53
21.110025,47.64841666666667,4.56
20.56505277777778,35.250861111111114,4.61
19.656277777777778,30.153222222222222,4.68
21.70157222222222,51.18963888888889,4.69
21.735719444444445,28.742611111111113,4.69
19.529533333333333,34.45297222222222,4.74
20.997097222222223,47.520944444444446,4.74
20.296444444444447,38.032944444444446,4.77
20.221677777777778,46.815666666666665,4.8
20.887430555555554,44.387277777777776,4.8
20.81563611111111,46.11413888888889,4.81
21.57957777777778,38.533833333333334,4.87
19.737930555555558,37.35427777777778,4.89
19.927172222222225,52.439027777777774,4.91
20.157116666666667,36.83958333333334,4.93
20.242216666666668,36.80613888888889,4.93
20.786311111111115,34.37411111111111,4.93
20.500980555555557,48.95155555555556,4.94
19.931044444444446,38.486694444444446,4.95
19.93205277777778,58.84602777777778,4.98
19.402102777777777,29.621305555555555,4.99
19.77377222222222,33.72869444444444,5.0
19.84381388888889,52.988166666666665,5.03
21.30755,43.94597222222222,5.04
21.615827777777778,40.4135,5.04
19.68058611111111,45.52463888888889,5.06
20.022652777777775,50.10466666666667,5.06
20.834674999999997,44.058972222222216,5.06
21.66973888888889,43.273805555555555,5.09
19.51261111111111,27.96527777777778,5.12
19.888158333333333,57.523472222222225,5.14
20.31085277777778,34.98277777777778,5.14
19.99866666666667,37.04288888888889,5.15
19.435866666666666,36.317861111111114,5.17
19.610569444444447,44.69519444444444,5.17
19.842775,38.722166666666666,5.18
21.114122222222225,38.7415,5.2
21.490808333333334,46.54033333333333,5.22
20.28202222222222,40.36508333333334,5.27
21.447658333333333,48.83511111111111,5.29
21.455933333333334,37.11680555555556,5.3
19.578127777777777,42.41258333333333,5.34
20.106091666666668,35.97352777777778,5.38
21.0197,46.15577777777778,5.38
19.58081111111111,29.462916666666665,5.39
19.657352777777778,42.818222222222225,5.41
20.703508333333332,50.34002777777778,5.41
19.95385,40.36783333333334,5.46
20.898308333333333,33.43780555555555,5.47
20.888488888888887,45.18169444444444,5.48
19.97721111111111,30.983666666666668,5.51
20.684055555555556,32.30777777777777,5.51
21.718466666666664,41.155,5.51
20.52189350833333,49.220296000000005,5.53
20.68403888888889,32.30730555555555,5.53
19.522044444444443,50.30658333333333,5.55
20.97205,44.47152777777778,5.55
22.04907777777778,44.64994444444444,5.57
20.30795277777778,36.99975,5.58
20.368152777777777,45.794888888888885,5.58
20.97500833333333,50.46177777777778,5.59
21.42205277777778,46.714222222222226,5.59
19.866408333333336,47.02736111111111,5.6
20.797025,47.83191666666667,5.6
21.144130555555556,30.205694444444443,5.6
20.076716666666666,32.218611111111116,5.62
20.459519444444442,38.440527777777774,5.63
19.843702777777775,40.59977777777778,5.68
20.64987222222222,30.334416666666666,5.68
20.69902777777778,41.716861111111115,5.68
20.93050277777778,47.41766666666666,5.68
21.366772222222224,49.38869444444445,5.68
