#ra,dec,mag
3.405375,49.86125,1.79
3.136147222222222,40.95563888888889,2.09
3.9022,31.883666666666667,2.84
3.964227777777778,40.01027777777778,2.9
3.079941666666667,53.50644444444445,2.91
3.0789166666666667,53.519444444444446,3.0
3.7154111111111114,47.78766666666667,3.01
3.08625,38.84052777777778,3.32
2.8449416666666667,55.89552777777778,3.77
3.753233333333333,42.57855555555556,3.77
3.1582305555555554,44.85788888888889,3.79
3.7386472222222222,32.28827777777778,3.84
2.9042944444444445,52.7625,3.93
4.144352777777778,47.712583333333335,3.96
3.9827500000000002,35.79102777777778,3.98
2.905777777777778,52.75833333333333,4.0
1.7276722222222223,50.68877777777777,4.01
3.1508,49.6135,4.05
2.736580555555556,49.22866666666667,4.1
4.248294444444444,48.40936111111111,4.12
2.8430305555555555,38.31891666666667,4.22
4.109738888888889,50.35136111111111,4.25
4.611508333333333,41.26486111111111,4.25
3.608155555555556,48.19269444444444,4.32
3.509577777777778,47.99516666666667,4.36
2.858563888888889,35.059888888888885,4.56
4.30405,50.29563888888889,4.6
3.1881666666666666,39.611583333333336,4.61
3.4894527777777777,49.509027777777774,4.67
4.248141666666667,40.48372222222223,4.67
2.979347222222222,39.66283333333333,4.68
3.092341666666667,56.705555555555556,4.77
4.359208333333333,46.49897222222222,4.8
3.312172222222222,34.22266666666667,4.85
4.831852777777778,37.488194444444446,4.89
2.7041472222222223,40.19438888888889,4.91
4.340183333333333,34.566750000000006,4.93
2.984363888888889,35.18311111111111,4.94
3.3573916666666666,43.329638888888894,4.96
3.706288888888889,33.96502777777778,4.97
2.0383527777777775,54.48755555555556,4.99
3.467513888888889,49.06294444444444,4.99
3.2700555555555555,50.93772222222222,5.04
3.318783333333333,50.09502777777778,5.05
2.9548,31.934305555555557,5.1
3.8257499999999998,33.09138888888889,5.14
2.3726194444444446,55.845666666666666,5.16
3.3104777777777774,50.22222222222222,5.16
3.0144944444444444,52.35180555555556,5.24
3.943455555555556,50.69569444444444,5.28
4.435072222222223,31.439194444444446,5.29
3.5406388888888887,46.05705555555555,5.3
4.715083333333333,43.36527777777778,5.3
3.3869944444444444,49.21333333333334,5.32
2.8951611111111113,38.33766666666667,5.34
3.932822222222222,47.87147222222222,5.39
2.734766666666667,44.29705555555555,5.43
4.320327777777777,50.048833333333334,5.46
2.997161111111111,47.22063888888889,5.47
3.5357166666666666,48.02352777777778,5.47
3.2964805555555556,44.025083333333335,5.49
3.941302777777778,35.08091666666667,5.49
4.143469444444444,38.04022222222222,5.52
1.866475,55.147416666666665,5.53
3.6855111111111114,37.58027777777778,5.55
4.336530555555555,50.920944444444444,5.55
3.4811972222222223,49.848444444444446,5.58
3.7420555555555555,36.46019444444445,5.6
3.8345694444444445,44.96791666666667,5.65
2.1446055555555557,58.42361111111111,5.66
3.7664583333333335,45.68194444444444,5.66
4.690025,48.300999999999995,5.66
1.8692638888888888,50.79286111111111,5.7
1.9759722222222222,49.20425,5.7
3.472411111111111,33.807694444444444,5.72
4.408094444444445,34.130833333333335,5.73
2.29995,57.89980555555555,5.75
4.183061111111112,33.58680555555556,5.75
2.7174444444444448,55.10608333333334,5.76
3.894075,48.650555555555556,5.76
4.410394444444445,33.95988888888889,5.77
3.408244444444444,33.536027777777775,5.78
3.8649222222222224,34.35913888888889,5.78
3.263325,57.14063888888889,5.79
3.5597277777777774,39.89958333333333,5.79
3.5102583333333333,48.10366666666667,5.82
2.7165194444444447,53.52619444444444,5.85
2.861597222222222,46.842000000000006,5.86
4.722666666666667,49.97383333333334,5.86
2.9944083333333333,41.033055555555556,5.89
3.54445,35.46172222222223,5.91
3.2232944444444445,48.177,5.93
